Designator,Mid X,Mid Y,Rotation,Layer
C1,-9.605841,-40.444612,60.0,top
C10,-44.831,-44.576998,0.0,top
C11,-44.831,-42.163998,0.0,top
C12,-48.26,-34.543998,135.0,top
C13,-37.211,-42.925998,180.0,top
C14,-31.115,-41.401998,0.0,top
C15,-49.53,-40.512998,90.0,top
C16,-37.211,-48.005998,180.0,top
C17,-31.115,-49.529998,0.0,top
C18,-31.115,-51.053998,0.0,top
C19,-79.629,-41.147998,180.0,top
C2,-12.013062,-39.788038,60.0,top
C20,-75.564998,-39.878,90.0,top
C21,-77.215998,-38.989,90.0,top
C22,-79.248,-47.497998,180.0,top
C23,-83.439,-40.512998,90.0,top
C24,-73.66,-51.815998,0.0,top
C25,-73.66,-49.402998,0.0,top
C26,-73.66,-47.878998,0.0,top
C27,-64.643,-46.608998,270.0,top
C28,-67.945,-43.560998,270.0,top
C29,-59.563,-46.608998,270.0,top
C3,-21.588332,-39.100892,180.0,top
C30,-56.164,-44.830998,270.0,top
C31,-54.61,-44.830998,270.0,top
C32,-95.728615,-43.224938,120.0,top
C33,-94.329498,-39.044276,120.0,top
C34,-100.300614,-35.306001,120.0,top
C35,-95.980498,-36.18466,120.0,top
C36,-90.043,-36.702998,90.0,top
C37,-87.249,-36.702998,90.0,top
C38,-102.234998,3.556002,0.0,top
C39,-45.847,-12.699998,90.0,top
C4,-16.189609,-43.974028,150.0,top
C40,-41.021,-18.414998,270.0,top
C41,-30.988002,-12.7,90.0,top
C42,-26.162002,-18.415,270.0,top
C43,-38.481002,-7.62,180.0,top
C44,-35.941,-12.318998,270.0,top
C45,-23.622002,-7.62,180.0,top
C46,-21.082002,-12.319,270.0,top
C47,-16.002,-14.604998,90.0,top
C48,-15.24,-20.065998,270.0,top
C49,-87.629998,-7.619998,180.0,top
C5,-3.429,-21.462998,90.0,top
C50,-85.089998,-12.318998,270.0,top
C51,-94.995998,-12.699998,90.0,top
C52,-90.169998,-18.414998,270.0,top
C53,-58.038998,-7.619998,180.0,top
C54,-55.498998,-12.318998,270.0,top
C55,-65.404998,-12.699998,90.0,top
C56,-60.578998,-18.414998,270.0,top
C57,-72.897998,-7.619998,180.0,top
C58,-70.358,-12.445998,270.0,top
C59,-80.263998,-12.699998,90.0,top
C6,-6.731,-24.383998,90.0,top
C60,-75.437998,-18.414998,270.0,top
C61,-22.097998,1.651003,90.0,top
C62,-60.706,2.540002,135.0,top
C63,-62.865,2.540002,135.0,top
C64,-63.881,0.381002,225.0,top
C65,-61.722,0.381002,225.0,top
C66,-23.748999,2.667002,90.0,top
C67,-102.615998,-11.938,270.0,top
C7,-5.461,-14.223998,0.0,top
C8,-11.557,-15.874998,180.0,top
C9,-11.557,-14.350998,180.0,top
D1,-100.300614,-35.306001,240.0,bottom
D2,-95.728615,-43.224938,240.0,bottom
H1,2e-06,2e-06,0.0,top
H2,-109.219998,2e-06,0.0,top
H3,-88.264998,-52.069998,0.0,top
H4,-15.874998,-52.069998,0.0,top
H5,-19.812,-35.432998,0.0,top
H6,-44.577,-33.400998,0.0,top
H7,-69.596,-48.386998,0.0,top
J1,-105.917998,-6.386828,0.0,bottom
J2,-106.578398,-31.064198,120.0,top
J3,-54.609998,-26.034998,0.0,top
L1,-11.262177,-44.329467,60.0,top
L2,-47.371,-47.243998,0.0,top
L3,-77.724,-52.450998,0.0,top
L4,-12.065,-30.225998,60.0,top
L5,-8.89,-19.811998,90.0,top
L6,-35.814,-34.924998,0.0,top
L7,-29.591,-45.465998,270.0,top
L8,-68.961,-35.940998,0.0,top
L9,-59.944,-38.607998,270.0,top
R1,-21.909616,-40.673372,180.0,top
R10,-79.629,-38.099998,0.0,top
R11,-79.629,-36.575998,180.0,top
R12,-79.248,-49.021998,180.0,top
R13,-49.276002,-8.89,270.0,top
R14,-53.975,-12.319,270.0,top
R15,-34.417002,-8.89,270.0,top
R16,-46.355002,-5.842,0.0,top
R17,-31.496002,-5.842,0.0,top
R18,-19.431,-9.778998,270.0,top
R19,-95.122998,-3.556,0.0,top
R2,-16.95161,-45.293851,150.0,top
R20,-99.440998,-8.89,270.0,top
R21,-65.912998,-5.841998,0.0,top
R22,-68.833998,-8.889998,270.0,top
R23,-80.644998,-5.841998,0.0,top
R24,-83.565998,-8.889998,270.0,top
R25,-50.673,2.032002,270.0,top
R26,-52.832,-8.89,270.0,top
R27,-91.439998,-3.555998,180.0,top
R28,-97.916998,-8.889998,270.0,top
R29,-50.8,-8.889998,270.0,top
R3,-19.591255,-43.769851,150.0,top
R30,-46.355,-8.381998,0.0,top
R31,-31.496,-8.381998,0.0,top
R32,-65.913,-8.762998,0.0,top
R33,-70.358,-8.889998,270.0,top
R34,-80.645,-8.762998,0.0,top
R35,-85.09,-8.889998,270.0,top
R36,-96.392998,-5.841998,270.0,top
R37,-96.392998,-8.889998,270.0,top
R38,-90.424,-32.003998,270.0,top
R39,-76.962,-32.003998,270.0,top
R4,-18.83003,-42.451372,330.0,top
R40,-50.546,-53.720998,270.0,top
R41,-36.449,-0.761998,180.0,top
R42,-36.449,-2.285998,180.0,top
R43,-36.449,-3.809998,180.0,top
R44,-36.449,-5.333998,180.0,top
R45,-50.038,-6.603998,0.0,top
R46,-71.628,-1.396998,90.0,top
R47,-73.152,-1.396998,90.0,top
R48,-74.676,-1.396998,90.0,top
R49,-76.2,-1.396998,90.0,top
R5,-51.181,-33.019998,135.0,top
R50,-77.724,-1.396998,90.0,top
R51,-79.248,-1.396998,90.0,top
R52,-36.449,0.762002,180.0,top
R53,-49.149,2.032002,90.0,top
R54,-46.101,2.032002,90.0,top
R55,-44.577,2.032002,90.0,top
R56,-40.005,2.032002,90.0,top
R57,-47.625,2.032002,270.0,top
R58,-43.053,2.032002,270.0,top
R59,-41.529,2.032002,270.0,top
R6,-51.054,-40.512998,90.0,top
R7,-52.578,-38.988998,90.0,top
R8,-50.292,-38.226998,0.0,top
R9,-79.629,-39.623998,180.0,top
U1,-15.774133,-38.936403,150.0,top
U10,-45.593,-17.271998,0.0,top
U11,-34.341002,-11.1745,270.0,top
U12,-44.120002,-5.016,270.0,top
U13,-30.734002,-17.272,0.0,top
U14,-40.513,-11.175998,0.0,top
U15,-29.263002,-5.08,270.0,top
U16,-19.23,-12.064998,270.0,top
U17,-25.654002,-11.176,0.0,top
U18,-19.812,-18.922998,0.0,top
U19,-95.175998,-5.0785,270.0,top
U2,-45.298,-38.700498,90.0,top
U20,-101.021104,-11.238652,270.0,top
U21,-63.677998,-5.078498,270.0,top
U22,-68.757998,-11.174498,270.0,top
U23,-78.536998,-5.078498,270.0,top
U24,-83.616998,-11.175998,270.0,top
U25,-89.661998,-11.175998,0.0,top
U26,-94.741998,-17.271998,0.0,top
U27,-60.070998,-11.175998,0.0,top
U28,-65.150998,-17.271998,0.0,top
U29,-74.929998,-11.175998,0.0,top
U3,-75.057,-44.449998,90.0,top
U30,-80.009998,-17.271998,0.0,top
U31,-52.751002,-11.1775,270.0,top
U32,-96.341998,-13.5905,90.0,top
U33,-90.499998,-7.43,90.0,top
U4,-28.321,1.397002,180.0,top
U5,-88.011,-42.036998,90.0,top
U6,-55.372,-1.269998,135.0,top
U7,-49.2,-11.174498,270.0,top
U8,-100.837998,-0.888998,90.0,top
U9,-102.361998,-8.2495,270.0,top
